client,desc,combined,service
Bluewater Energy Solutions Inc.,Morgan City LA Power Plant Testing,Bluewater Energy Solutions Inc. Morgan City LA Power Plant Testing,Commissioning
Bluewater Energy Solutions Inc.,Pasadena Water and Power Repowering ,Bluewater Energy Solutions Inc. Pasadena Water and Power Repowering ,Commissioning
Bluewater Energy Solutions Inc.,Pondera Power Plant 3rd Party Testing,Bluewater Energy Solutions Inc. Pondera Power Plant 3rd Party Testing,Commissioning
BMW North America,Southern Regional Office,BMW North America Southern Regional Office,Design
Board of Regents,GA Southern - NOC Upgrades ,Board of Regents GA Southern - NOC Upgrades ,Design
Bretco,Qualifications Package,Bretco Qualifications Package,Design / Commissioning
"Built Environment Engineers, PLLC","646-654 H Street, Washington DC (BEE)","Built Environment Engineers, PLLC 646-654 H Street, Washington DC (BEE)",Commissioning
"Built Environment Engineers, PLLC","Van and Half Street, Washington DC (BEE)","Built Environment Engineers, PLLC Van and Half Street, Washington DC (BEE)",Commissioning
Burns & McDonnell,Electrical Operator Training,Burns & McDonnell Electrical Operator Training,"Other (Owner's Rep, Ops Support, etc.)"
Capital City,Bartow Malow Company / GICC Gateway Arena,Capital City Bartow Malow Company / GICC Gateway Arena,MSI
Capital City,Georgia Gwinnettt College ,Capital City Georgia Gwinnettt College ,MSI
Capital City,Lunch n Learn on Controls,Capital City Lunch n Learn on Controls,MSI
Capital City,The Cooler - MSI Services,Capital City The Cooler - MSI Services,MSI
"Cassidy Turley Fiduciary, Inc.","19 E 57th Street NY, NY - Control System Speed Investigation","Cassidy Turley Fiduciary, Inc. 19 E 57th Street NY, NY - Control System Speed Investigation",MSI
"Cassidy Turley Fiduciary, Inc.","LVMH - 19 E 57th Street NY, NY - Control System Speed Investigation","Cassidy Turley Fiduciary, Inc. LVMH - 19 E 57th Street NY, NY - Control System Speed Investigation",MSI
"Cassidy Turley Fiduciary, Inc.","LVMH - 19 E 57th Street NY, NY - On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - 19 E 57th Street NY, NY - On Site Services","Other (Owner's Rep, Ops Support, etc.)"
"Cassidy Turley Fiduciary, Inc.",LVMH - BAS Audit Services,"Cassidy Turley Fiduciary, Inc. LVMH - BAS Audit Services",MSI
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - 19 East 57th,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - 19 East 57th","Other (Owner's Rep, Ops Support, etc.)"
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - 598 Madison,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - 598 Madison","Other (Owner's Rep, Ops Support, etc.)"
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - One East 57th,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - One East 57th","Other (Owner's Rep, Ops Support, etc.)"
"Cassidy Turley Fiduciary, Inc.","LVMH - Madison Ave NY, NY On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - Madison Ave NY, NY On Site Services","Other (Owner's Rep, Ops Support, etc.)"
"Cassidy Turley Fiduciary, Inc.","LVMH - One E 57th Street NY, NY - On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - One E 57th Street NY, NY - On Site Services","Other (Owner's Rep, Ops Support, etc.)"
CBRE,7000 Central Parkway ,CBRE 7000 Central Parkway ,Commissioning
CBRE,ATL - Chiller Replacement,CBRE ATL - Chiller Replacement,Design
CBRE,GO UPS Battery Room Ventilation Design,CBRE GO UPS Battery Room Ventilation Design,Design
CBRE,Piedmont Hospital - Technology Integration - NCI,CBRE Piedmont Hospital - Technology Integration - NCI,MSI
CBS,Trinidad Data Center,CBS Trinidad Data Center,Design / Commissioning
CenturyLink,Introduction through ALC,CenturyLink Introduction through ALC,Design
Chase,Site Inspection - 30k sqft building in Fayetteville,Chase Site Inspection - 30k sqft building in Fayetteville,Design
Circle Square Architects,GA DOT District Five Office ,Circle Square Architects GA DOT District Five Office ,Design
Circle Square Architects,Rockdale County Gym ,Circle Square Architects Rockdale County Gym ,Design
Circle Square Architects,TBD,Circle Square Architects TBD,Design
Citadel ,425 Park Project – Commissioning Services,Citadel  425 Park Project – Commissioning Services,Commissioning
"Citigroup, Inc.",AHU controls upgrade,"Citigroup, Inc. AHU controls upgrade",MSI
"Citigroup, Inc.",Atlanta - UPS replacement,"Citigroup, Inc. Atlanta - UPS replacement",Design
"Citigroup, Inc.","B1 - RTU Controls Installation - San Antonio, TX","Citigroup, Inc. B1 - RTU Controls Installation - San Antonio, TX",Design
"Citigroup, Inc.","B1 Chiller & Pumps Replacement – San Antonio, TX - CO","Citigroup, Inc. B1 Chiller & Pumps Replacement – San Antonio, TX - CO",MSI
"Citigroup, Inc.","B1 Chiller Pumps Controls Replacement - San Antonio, TX","Citigroup, Inc. B1 Chiller Pumps Controls Replacement - San Antonio, TX",MSI
"Citigroup, Inc.","B1 Cooling Tower CONTROLS Replacement – San Antonio, TX (AJ Monier)","Citigroup, Inc. B1 Cooling Tower CONTROLS Replacement – San Antonio, TX (AJ Monier)",MSI
"Citigroup, Inc.","B1 Cooling Tower Replacement – San Antonio, TX - DESIGN AND CA","Citigroup, Inc. B1 Cooling Tower Replacement – San Antonio, TX - DESIGN AND CA",Design
"Citigroup, Inc.",B2 / B3 Chiller Upgrade Project - BAS RFP (A DISTECH PROJECT) - AJMonier,"Citigroup, Inc. B2 / B3 Chiller Upgrade Project - BAS RFP (A DISTECH PROJECT) - AJMonier",MSI
"Citigroup, Inc.",B4 Chiller Cx,"Citigroup, Inc. B4 Chiller Cx",Commissioning
"Citigroup, Inc.",B4 Chiller Cx,"Citigroup, Inc. B4 Chiller Cx",Commissioning
"Citigroup, Inc.","BAS Cx - New Castle, DE","Citigroup, Inc. BAS Cx - New Castle, DE",MSI
"Citigroup, Inc.","Campus Controls Optimization - San Antonio, TX","Citigroup, Inc. Campus Controls Optimization - San Antonio, TX",MSI
"Citigroup, Inc.","MSI Implementation (Chicago) - Day 2 - Elk Grove, IL","Citigroup, Inc. MSI Implementation (Chicago) - Day 2 - Elk Grove, IL",MSI
"Citigroup, Inc.","Chiller System Replacement - New Castle, DE","Citigroup, Inc. Chiller System Replacement - New Castle, DE",Design
"Citigroup, Inc.","Campus - Onsite Controls Technician Support - San Antonio, TX","Citigroup, Inc. Campus - Onsite Controls Technician Support - San Antonio, TX",MSI
"Citigroup, Inc.","Controls Replacement 2019 - New Castle, DE","Citigroup, Inc. Controls Replacement 2019 - New Castle, DE",MSI
"Citigroup, Inc.","Distech - Basic Annual Controls Service Agreement - San Antonio, TX","Citigroup, Inc. Distech - Basic Annual Controls Service Agreement - San Antonio, TX",MSI
"Citigroup, Inc.",CRAH / Condenser Pump Replace B2 & B3 Design,"Citigroup, Inc. CRAH / Condenser Pump Replace B2 & B3 Design",Design
"Citigroup, Inc.",DFW Campus Controls Replacement 2019,"Citigroup, Inc. DFW Campus Controls Replacement 2019",MSI
"Citigroup, Inc.","Electrical Design - New Castle, DE - Campus Generator","Citigroup, Inc. Electrical Design - New Castle, DE - Campus Generator",Design
"Citigroup, Inc.","Electrical Systems Cx - New Castle, DE","Citigroup, Inc. Electrical Systems Cx - New Castle, DE",Commissioning
"Citigroup, Inc.","Elk Grove, IL (Chicago) BAS Audit ","Citigroup, Inc. Elk Grove, IL (Chicago) BAS Audit ",MSI
"Citigroup, Inc.","Elk Grove, IL (Chicago) BAS Fixes / MSI Implementation","Citigroup, Inc. Elk Grove, IL (Chicago) BAS Fixes / MSI Implementation",MSI
"Citigroup, Inc.","HVAC Plant Cx - New Castle, DE","Citigroup, Inc. HVAC Plant Cx - New Castle, DE",Commissioning
"Citigroup, Inc.","New Castle, DE - OPSII - Energy Audit ","Citigroup, Inc. New Castle, DE - OPSII - Energy Audit ",Energy Management
"Citigroup, Inc.","New Castle, DE BMS Analysis","Citigroup, Inc. New Castle, DE BMS Analysis",MSI
"Citigroup, Inc.","New Castle, DE Parking Garage","Citigroup, Inc. New Castle, DE Parking Garage",Design
"Citigroup, Inc.","Plant Chiller Condition Assessment - New Castle, DE","Citigroup, Inc. Plant Chiller Condition Assessment - New Castle, DE",Audit
"Citigroup, Inc.",San Antonio - B3 pump and VFD design and CA services,"Citigroup, Inc. San Antonio - B3 pump and VFD design and CA services",Design
"Citigroup, Inc.",San Antonio - Chiller/pump Replacements - B2 &3,"Citigroup, Inc. San Antonio - Chiller/pump Replacements - B2 &3",Design
"Citigroup, Inc.",San Antonio Additional Building 2 & 3 CW System Testing,"Citigroup, Inc. San Antonio Additional Building 2 & 3 CW System Testing",Design
"Citigroup, Inc.",San Antonio BAS Cx,"Citigroup, Inc. San Antonio BAS Cx",MSI
"Citigroup, Inc.",San Antonio Bldg.2 Condenser H2O Testing,"Citigroup, Inc. San Antonio Bldg.2 Condenser H2O Testing",Design
"Citigroup, Inc.",San Antonio Campus - Arcflash and selective coordination study,"Citigroup, Inc. San Antonio Campus - Arcflash and selective coordination study",Specialty Services
"Citigroup, Inc.","San Antonio Campus - Envelope, Roof, and RTU Repair/Replace project","Citigroup, Inc. San Antonio Campus - Envelope, Roof, and RTU Repair/Replace project",Design
"Citigroup, Inc.","San Antonio Campus Cx, MSI, Design","Citigroup, Inc. San Antonio Campus Cx, MSI, Design","Other (Owner's Rep, Ops Support, etc.)"
"Citigroup, Inc.",San Antonio Campus Refresh BAS (TDIndustries),"Citigroup, Inc. San Antonio Campus Refresh BAS (TDIndustries)",MSI
"Citigroup, Inc.","San Antonio Refresh Project -Phase 2-6 - LED Lighting, VAV, IT Infrastructure (Harvey Cleary)","Citigroup, Inc. San Antonio Refresh Project -Phase 2-6 - LED Lighting, VAV, IT Infrastructure (Harvey Cleary)",Design
"Citigroup, Inc.",San Antonio Smart Campus Project / Misc.,"Citigroup, Inc. San Antonio Smart Campus Project / Misc.",Design
"Citigroup, Inc.","San Antonio, TX - Sprinkler MIC Investigation","Citigroup, Inc. San Antonio, TX - Sprinkler MIC Investigation",Audit
"Citigroup, Inc.",SAT - Building 1 AHU Replacement - Design & CA,"Citigroup, Inc. SAT - Building 1 AHU Replacement - Design & CA",Design
"Citigroup, Inc.","Smart Campus Project - San Antonio, TX - Energy Audits","Citigroup, Inc. Smart Campus Project - San Antonio, TX - Energy Audits",Energy Management
"Citigroup, Inc.","SOP Development - San Antonio, TX","Citigroup, Inc. SOP Development - San Antonio, TX",Design
City of Philadelphia,Philadelphia Law Enforcement and Healthcare Center - City of Philly,City of Philadelphia Philadelphia Law Enforcement and Healthcare Center - City of Philly,Commissioning
Clarke ATL University ,Electrical Assessment ,Clarke ATL University  Electrical Assessment ,Audit
CloudHQ,Manassass Data Centers Opportunities? ,CloudHQ Manassass Data Centers Opportunities? ,Design / Commissioning
Cobb County,Civic Center Renovations,Cobb County Civic Center Renovations,Design
The Coca-Cola Company,Energy Savings,The Coca-Cola Company Energy Savings,Design
The Coca-Cola Company,Campus - ABBC Audit,The Coca-Cola Company Campus - ABBC Audit,Audit
CompuDynamics,Design and Cx,CompuDynamics Design and Cx,Design / Commissioning
Cornell University,Cornell Univ. Community Practice Services Building Cx,Cornell University Cornell Univ. Community Practice Services Building Cx,Commissioning
Cornell University,Martha Van Rensselaer 1993 Building Rehab -Phase 3- Commissioning Services,Cornell University Martha Van Rensselaer 1993 Building Rehab -Phase 3- Commissioning Services,Commissioning
County of Hudson,County of Hudson Energy Savings Improvement Plan Review,County of Hudson County of Hudson Energy Savings Improvement Plan Review,Audit
CPS,CyrusOne – Project Kincora – Cx Services,CPS CyrusOne – Project Kincora – Cx Services,Commissioning
Credit Suisse,Credit Suisse Restack Commissioning,Credit Suisse Credit Suisse Restack Commissioning,Commissioning
CT Solutions,McWhirter Realty,CT Solutions McWhirter Realty,Design
Cupertino Electric,Qualifications Package,Cupertino Electric Qualifications Package,Design / Commissioning
"Cushman & Wakefield, Inc",Existing Equipment Performance Research – 111 Wall Street,"Cushman & Wakefield, Inc Existing Equipment Performance Research – 111 Wall Street",Design
CyrusOne,3 projects in Atlanta? ,CyrusOne 3 projects in Atlanta? ,Design / Commissioning
CyrusOne,Atlanta Data Center,CyrusOne Atlanta Data Center,Design / Commissioning
CyrusOne,Austin Data Center ,CyrusOne Austin Data Center ,Commissioning
CyrusOne,Cx Qualifications,CyrusOne Cx Qualifications,Commissioning
CyrusOne,Virginia data center,CyrusOne Virginia data center,Commissioning
Cyxtera,Power Distribution System Addition Cx at Cyxtera Data Center in Sterling VA,Cyxtera Power Distribution System Addition Cx at Cyxtera Data Center in Sterling VA,Commissioning
Cyxtera,Columbus Data Center – PLC Modifications - Cx Services,Cyxtera Columbus Data Center – PLC Modifications - Cx Services,Commissioning
Databank,5G Facilities,Databank 5G Facilities,Design / Commissioning
Databank,Kansas City,Databank Kansas City,Commissioning
DC Blox,Multiple locations,DC Blox Multiple locations,Design / Commissioning
"DCO Energy, LLC",DCO Audit - DRJTBC ECM Design,"DCO Energy, LLC DCO Audit - DRJTBC ECM Design",Design
Delta,Design and Cx Support,Delta Design and Cx Support,Design / Commissioning
Delta,Outage remediation,Delta Outage remediation,Design / Commissioning
Department of Public Works and Parks,"University City Analysis of Energy Efficiency Upgrades – University City, MO","Department of Public Works and Parks University City Analysis of Energy Efficiency Upgrades – University City, MO",Design
Department of the Treasury,3rd Party Measurement & Verification Services - NJ State Prison ,Department of the Treasury 3rd Party Measurement & Verification Services - NJ State Prison ,Audit
Digital Realty Trust," Trumbull, CT - DC Energy Audit","Digital Realty Trust  Trumbull, CT - DC Energy Audit",Audit
Digital Realty Trust,"111 8th Ave, NYC - DC Energy Audit","Digital Realty Trust 111 8th Ave, NYC - DC Energy Audit",Audit
Digital Realty Trust,2020 I-UP Budgeting Planning,Digital Realty Trust 2020 I-UP Budgeting Planning,Design
Digital Realty Trust,"60 Hudson, NYC - DC Energy Audit","Digital Realty Trust 60 Hudson, NYC - DC Energy Audit",Audit
Digital Realty Trust,ASHRAE 90.1 - 90.4 Risk Assessment,Digital Realty Trust ASHRAE 90.1 - 90.4 Risk Assessment,Audit
Digital Realty Trust,ATL13 - 56 Marietta - Implementation / RCx,Digital Realty Trust ATL13 - 56 Marietta - Implementation / RCx,Specialty Services
Digital Realty Trust,AZ DC - Energy Assessments,Digital Realty Trust AZ DC - Energy Assessments,Audit
Digital Realty Trust,BOS13 Energy Model Update,Digital Realty Trust BOS13 Energy Model Update,Specialty Services
Digital Realty Trust,Cermak Data Center Energy Assessment,Digital Realty Trust Cermak Data Center Energy Assessment,Audit
Digital Realty Trust,"Chandler, AZ - DC Energy Audit","Digital Realty Trust Chandler, AZ - DC Energy Audit",Audit
Digital Realty Trust,"Chicago, IL - DC Energy Audit","Digital Realty Trust Chicago, IL - DC Energy Audit",Audit
Digital Realty Trust,"Chicago, IL ORD11 - DC Energy Audit","Digital Realty Trust Chicago, IL ORD11 - DC Energy Audit",Audit
Digital Realty Trust,"Dallas, TX (DFW10) - DC Energy Audit","Digital Realty Trust Dallas, TX (DFW10) - DC Energy Audit",Audit
Digital Realty Trust,DFW10 - Energy Audit & Leakage investigation,Digital Realty Trust DFW10 - Energy Audit & Leakage investigation,Audit
Digital Realty Trust,Energy Management Master Planning,Digital Realty Trust Energy Management Master Planning,Audit
Digital Realty Trust,Energy Star Cert,Digital Realty Trust Energy Star Cert,Design
Digital Realty Trust,EWR20 - 100 Delawanna - DC Energy Audit,Digital Realty Trust EWR20 - 100 Delawanna - DC Energy Audit,Audit
Digital Realty Trust,EWR20 -100 Delawanna - Energy Audit Implementation ,Digital Realty Trust EWR20 -100 Delawanna - Energy Audit Implementation ,Audit
Digital Realty Trust,"EWR21 - Clifton, NJ - DC Energy Audit","Digital Realty Trust EWR21 - Clifton, NJ - DC Energy Audit",Audit
Digital Realty Trust,EWR21 - 2 Peekay Drive - Energy Audit Implementation - ECM-3,Digital Realty Trust EWR21 - 2 Peekay Drive - Energy Audit Implementation - ECM-3,Audit
Digital Realty Trust,Global Energy Management Program,Digital Realty Trust Global Energy Management Program,Audit
Digital Realty Trust,JFK10 - Energy Audit - NYSERDA Flextech Program ,Digital Realty Trust JFK10 - Energy Audit - NYSERDA Flextech Program ,Energy Management
Digital Realty Trust,LAX10 - ECM Implementation / RCx,Digital Realty Trust LAX10 - ECM Implementation / RCx,Specialty Services
Digital Realty Trust,LAX10 Cooling Tower Replacement,Digital Realty Trust LAX10 Cooling Tower Replacement,Design
Digital Realty Trust,LAX10 Thermal Mapping & Energy Summary,Digital Realty Trust LAX10 Thermal Mapping & Energy Summary,Audit
Digital Realty Trust,"ORD10 - Energy Audit (leakage investigation, partial suite assessments)","Digital Realty Trust ORD10 - Energy Audit (leakage investigation, partial suite assessments)",Audit
Digital Realty Trust,ORD10 - Implementation / RCx,Digital Realty Trust ORD10 - Implementation / RCx,Specialty Services
Digital Realty Trust,"PHX10 - Data Center Cooling Cost Study - Phoenix, AZ","Digital Realty Trust PHX10 - Data Center Cooling Cost Study - Phoenix, AZ",Design
Digital Realty Trust,PHX10 - Implementation / RCx,Digital Realty Trust PHX10 - Implementation / RCx,Specialty Services
Digital Realty Trust,PHX15 - Implementation / RCx (energy efficiency audit),Digital Realty Trust PHX15 - Implementation / RCx (energy efficiency audit),Specialty Services
Digital Realty Trust,"PHX15 PUE - Owner Rep - Phoenix, AZ","Digital Realty Trust PHX15 PUE - Owner Rep - Phoenix, AZ","Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,Pitscataway DC - Energy Assessment,Digital Realty Trust Pitscataway DC - Energy Assessment,Audit
Digital Realty Trust,Power Metering Designs,Digital Realty Trust Power Metering Designs,Design
Digital Realty Trust,ATL13 - PUE Calculator - 56 Marietta,Digital Realty Trust ATL13 - PUE Calculator - 56 Marietta,Audit
Digital Realty Trust,PUE Program Mgt,Digital Realty Trust PUE Program Mgt,Design
Digital Realty Trust,PUE Submetering - Extended Services - Bucket #1 sites,Digital Realty Trust PUE Submetering - Extended Services - Bucket #1 sites,Program Management
Digital Realty Trust,PUE Submetering - Extended Services - Bucket #2 sites,Digital Realty Trust PUE Submetering - Extended Services - Bucket #2 sites,Program Management
Digital Realty Trust,Santa Clara - Energy Audit,Digital Realty Trust Santa Clara - Energy Audit,Audit
Digital Realty Trust,Scope Document for PUE Metering Program,Digital Realty Trust Scope Document for PUE Metering Program,Design
Digital Realty Trust,SFO10 - Implementation / RCx,Digital Realty Trust SFO10 - Implementation / RCx,Commissioning
Digital Realty Trust,Utility Incentive Program ,Digital Realty Trust Utility Incentive Program ,Specialty Services
Digital Realty Trust,Electrical Maintenance SOW Reviews (CONUS Data Centers),Digital Realty Trust Electrical Maintenance SOW Reviews (CONUS Data Centers),"Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,Energy Dashboards,Digital Realty Trust Energy Dashboards,Energy Management
Digital Realty Trust,PHX15 Thermal Mapping,Digital Realty Trust PHX15 Thermal Mapping,MSI
Digital Realty Trust,Generator Testing and Operational Best Practices Study (CONUS Data Centers),Digital Realty Trust Generator Testing and Operational Best Practices Study (CONUS Data Centers),"Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,Qualifications Package,Digital Realty Trust Qualifications Package,Commissioning
Digital Realty Trust,Telx – 56 Marietta St - Energy Audit ,Digital Realty Trust Telx – 56 Marietta St - Energy Audit ,Audit
Distech,Citi Chiller Optimization ECM Upgrade (Aux Controls),Distech Citi Chiller Optimization ECM Upgrade (Aux Controls),MSI
Digital Realty Trust,250 Williams Expansion / ACS Building,Digital Realty Trust 250 Williams Expansion / ACS Building,Design / Commissioning
Digital Realty Trust,Ashburn - Suites L118 & L218 - DR6000 & DR8000,Digital Realty Trust Ashburn - Suites L118 & L218 - DR6000 & DR8000,Design
Digital Realty Trust,Chicago data center,Digital Realty Trust Chicago data center,Design / Commissioning
Digital Realty Trust,Commissioning,Digital Realty Trust Commissioning,Commissioning
Digital Realty Trust,L2/L3 First Floor Suites,Digital Realty Trust L2/L3 First Floor Suites,Design
Digital Realty Trust,Airport DC - Delta,Digital Realty Trust Airport DC - Delta,Design / Commissioning
Donnelly Mechanical Corp.,Brinks - LL84,Donnelly Mechanical Corp. Brinks - LL84,Audit
Donnelly Mechanical Corp.,Brinks - LL87,Donnelly Mechanical Corp. Brinks - LL87,Audit
Donnelly Mechanical Corp.,"LVMH LL87 – 1 East 57th Street, NYC, NY  ","Donnelly Mechanical Corp. LVMH LL87 – 1 East 57th Street, NYC, NY  ",Audit
Donnelly Mechanical Corp.,NY Retro-Cx – HVAC Devices at Six Locations,Donnelly Mechanical Corp. NY Retro-Cx – HVAC Devices at Six Locations,Commissioning
State of NJ - Division of Property Management & Construction,3rd Party M&V Services -  NJ State Prison,State of NJ - Division of Property Management & Construction 3rd Party M&V Services -  NJ State Prison,Audit
State of NJ - Division of Property Management & Construction,Albert Wagner Youth Correctional Center,State of NJ - Division of Property Management & Construction Albert Wagner Youth Correctional Center,Audit
State of NJ - Division of Property Management & Construction,Delanco New MVC Facility ,State of NJ - Division of Property Management & Construction Delanco New MVC Facility ,Commissioning
State of NJ - Division of Property Management & Construction,Wayne Motor Vehicle Commission,State of NJ - Division of Property Management & Construction Wayne Motor Vehicle Commission,Commissioning
DPR Construction,Atlanta Paralleling Switchgear and Generator Lineup,DPR Construction Atlanta Paralleling Switchgear and Generator Lineup,Design / Commissioning
DPR Construction,Merck / DPR DC (K22),DPR Construction Merck / DPR DC (K22),Commissioning
DPR Construction,Oracle Data Center ,DPR Construction Oracle Data Center ,Commissioning
eBay,PHX Sirius Phase 2 Data Center Cx,eBay PHX Sirius Phase 2 Data Center Cx,Commissioning
eBay,Quicksilver Phase 3 Data Center,eBay Quicksilver Phase 3 Data Center,Commissioning
EdgeCore,"Building Facilities in Dallas, Reno, Phoenix","EdgeCore Building Facilities in Dallas, Reno, Phoenix",Design / Commissioning
Emerson Network Power,"Lulea, Sweden DC Cx","Emerson Network Power Lulea, Sweden DC Cx",Commissioning
Emory,Emory University EmTech Library Services Center Cx,Emory Emory University EmTech Library Services Center Cx,Commissioning
Emory,MSI Quals,Emory MSI Quals,Design / Commissioning
Emory,"WMRB (Emory University Woodruff Memorial Research Building) Commissioning Renovation Project, Phase 1","Emory WMRB (Emory University Woodruff Memorial Research Building) Commissioning Renovation Project, Phase 1",Commissioning
Emory,J Wing Expansion Cx,Emory J Wing Expansion Cx,Commissioning
Emory,Integration and GUI RFQ,Emory Integration and GUI RFQ,MSI
Environet ,DG GUI,Environet  DG GUI,MSI
Epsten Group,BOR Augusta Universtiy Ceramic Lab,Epsten Group BOR Augusta Universtiy Ceramic Lab,Design
Epsten Group,"CTC – Health Science Building Cx – Marietta, GA ","Epsten Group CTC – Health Science Building Cx – Marietta, GA ",Commissioning
Epsten Group,DeKalb County School District 2D ,Epsten Group DeKalb County School District 2D ,Design
Epsten Group,DeKalb County School District 2D - Atlanta,Epsten Group DeKalb County School District 2D - Atlanta,Design
Epsten Group,GA Tech West Campus Dining Hall CxA,Epsten Group GA Tech West Campus Dining Hall CxA,Commissioning
Epsten Group,"GBA – 184-185 GEMA Facility Cx – Atlanta, GA ","Epsten Group GBA – 184-185 GEMA Facility Cx – Atlanta, GA ",Commissioning
Epsten Group,"GIT – Campus Center Cx – Atlanta, GA ","Epsten Group GIT – Campus Center Cx – Atlanta, GA ",Commissioning
Epsten Group,"GIT – Dainey Parking Lot Retro Cx – Atlanta, GA ","Epsten Group GIT – Dainey Parking Lot Retro Cx – Atlanta, GA ",Commissioning
Epsten Group,"GSU – Armstrong Campus Cx – Savannah, GA ","Epsten Group GSU – Armstrong Campus Cx – Savannah, GA ",Commissioning
